source;wp_id;supplier_article;name;price;currency;in_stock
elicon.by;1157;8181-00;"Счетчик газа диафрагменный с термокомпенсатором СГД-3Т-1-1 G6 (левый) L=200";172.38;BYN;1
elicon.by;1159;8181-20;"Счетчик газа диафрагменный с термокомпенсатором СГД-3Т-1-1-G4 (левый) L=200";232.96;BYN;1
elicon.by;1158;8181-01;"Счетчик газа диафрагменный с термокомпенсатором СГД-3Т-1-2 G6 (правый) L=200";187.85;BYN;1
elicon.by;916;8181-21;"Счетчик газа диафрагменный с термокомпенсатором СГД-3Т-1-2-G4 (правый) L=200";181.70;BYN;1
elicon.by;911;8181-22;"Счетчик газа диафрагменный с термокомпенсатором СГД-3Т-1И-1-G4 (левый) L=200";;BYN;0
elicon.by;907;8181-04;"Счетчик газа диафрагменный с термокомпенсатором СГД-3Т-1И-1-G6 (левый) L=200";187.65;BYN;1
elicon.by;944;8181-23;"Счетчик газа диафрагменный с термокомпенсатором СГД-3Т-1И-2- G4 (правый) L=200";195.17;BYN;1
elicon.by;903;8181-05;"Счетчик газа диафрагменный с термокомпенсатором СГД-3Т-1И-2- G6 (правый) L=200";187.65;BYN;1
elicon.by;1218;8181-10;"Счетчик газа диафрагменный с термокомпенсатором СГД-3Т-2-1 G6 (левый) L=250";187.03;BYN;1
elicon.by;1161;8181-11;"Счетчик газа диафрагменный с термокомпенсатором СГД-3Т-2-2 G6 (правый) L=250";187.03;BYN;1
elicon.by;1160;8181-12;"Счетчик газа диафрагменный с термокомпенсатором СГД-3Т-2И-1 G6 (левый) L=250";203.73;BYN;1
elicon.by;1878;8336-50;"Счетчик газа диафрагменный СГД 4-3-1 G2,5 L=110 (левый)";;BYN;0
elicon.by;1221;8336-94;"Счетчик газа диафрагменный СГД 4-3-1 G2,5 И L=110 (левый)";;BYN;0
elicon.by;925;8336-48;"Счетчик газа диафрагменный СГД 4-3-1-G4ТИ (левый) L=110 (без манжет)";;BYN;0
elicon.by;1331;8336-07;"Счетчик газа диафрагменный СГД 4-3-2-G4ТИ (правый) L=110";173.36;BYN;1
elicon.by;1228;1009-00;"Счетчик газа диафрагменный СГМН-1-1-1-G6 (левый) L=250";;BYN;0
elicon.by;947;1009-04;"Счетчик газа диафрагменный СГМН-1-2-1-G6 (левый) L=200";162.66;BYN;1
elicon.by;1152;1009-06;"Счетчик газа диафрагменный СГМН-1-2-2-G6 (правый) L=200";162.66;BYN;1
elicon.by;929;8072-20;"Счетчик газа СГД-1-2-1-G1,6 (правый) L=110";180.51;BYN;1
elicon.by;920;8072-22;"Счетчик газа СГД-1-2-1-G2,5 (правый) L=110";180.51;BYN;1
elicon.by;923;8072-21;"Счетчик газа СГД-1-2-2-G1,6 (левый) L=110";180.51;BYN;1
elicon.by;1167;8072-23;"Счетчик газа СГД-1-2-2-G2,5 (левый) L=110";180.51;BYN;1
elicon.by;4588;8349-10;"Счетчик газа ультразвуковой ""СКАТ""- G10";542.34;BYN;1
