supplier_article;supplier_name;price;site_sku;notes
001;"Дровяной камин BLACK STOVE Hors-6";2269.80;;
002;"Дровяной камин BLACK STOVE Hors-9";3092.70;;
011;"Печь-Камин Hors-10";3619.20;;
003;"Дровяной камин BLACK STOVE Hors-13";4293.90;;
004;"Печь-Камин Magma-8";5736.90;;
005;"Каминная топка Bruno H-800";10475.40;;
026;"Чугунная печь  ""Венеция"" 22 Закрытая каменка Aisi 304";2999.10;;
012;"Чугунная печь  ""Verona"" 18 Закрытая каменка Aisi 304";3162.90;;
006;"Чугунная печь  ""Verona"" 26 Закрытая каменка Aisi 304";3744.00;;
014;"Чугунная печь  ""Verona"" 18 ГАЗ Закрытая каменка Aisi 304, УГ в комплекте";4098.90;;
015;"Чугунная печь  ""Verona"" 26 ГАЗ Закрытая каменка Aisi 304, УГ в комплекте";4676.10;;
027;"Чугунная печь  ""Венеция"" 22 ГАЗ Закрытая каменка Aisi 304, УГ в комплекте";3861.00;;
501;"Печь-камин чугунная ""Verona"" 50 ЗК-нерж, Сетчатый Кожух";5171.40;;
028;"Чугунная печь  ""Венеция"" 20 ДТ-4";1817.40;;
029;"Чугунная печь  ""Венеция"" 20 Д-2";2016.30;;
030;"Чугунная печь  ""Венеция"" 20 Д-1";2219.10;;
031;"Чугунная печь  ""Венеция-Флагман"" 20";2250.30;;
032;"Чугунная печь  ""Венеция"" 20 ДТ-4 без выноса";1817.40;;
033;"Чугунная печь  ""Венеция"" 20 Д-2 без выноса";2016.30;;
034;"Чугунная печь  ""Венеция"" 20 ГАЗ УГ в комплекте";2636.40;;
018;"Чугунная печь  ""Verona"" 18 Закрытая каменка Aisi 304 облицовка Тальк";7402.20;;
019;"Чугунная печь  ""Verona"" 26 Закрытая каменка Aisi 304 облицовка Тальк

NEW";8544.90;;
020;"Чугунная печь  ""Verona"" 18 ГАЗ Закрытая каменка Aisi 304, УГ в комплекте облицовка Тальк

NEW";8338.20;;
021;"Чугунная печь  ""Verona"" 26 ГАЗ Закрытая каменка Aisi 304, УГ в комплекте облицовка Тальк

NEW";9480.90;;
022;"Чугунная печь  ""Verona"" 18 Закрытая каменка Aisi 304 облицовка Пироксенит

NEW";7402.20;;
023;"Чугунная печь  ""Verona"" 26 Закрытая каменка Aisi 304 облицовка Пироксенит

NEW";8544.90;;
024;"Чугунная печь  ""Verona"" 18 ГАЗ Закрытая каменка Aisi 304, УГ в комплекте облицовка Пироксенит

NEW";8338.20;;
025;"Чугунная печь  ""Verona"" 26 ГАЗ Закрытая каменка Aisi 304, УГ в комплекте облицовка Пироксенит

NEW";9480.90;;
007;"Печь из нержавеющей стали ""Varna"" 16  Закрытая каменка";2745.60;;
010;"Печь из нержавеющей стали ""Varna"" 26  Закрытая каменка";3244.80;;
016;"Печь из нержавеющей стали ""Varna"" 16 ГАЗ Закрытая каменка";3681.60;;
017;"Печь из нержавеющей стали ""Varna"" 26 ГАЗ Закрытая каменка";4176.90;;
008;"Теплообменник для печи ""Verona 18-26""";214.50;;
009;"Сетчатый экономайзер L-700 ""Verona-Varna """;210.60;;
2001;"Печь-Камин Народная 16(Aisi430) Закрытая Каменка (сетка трансформер)";2492.10;;
2002;"Печь-Камин Народная 26(Aisi430) Закрытая Каменка (сетка трансформер)";2991.30;;
2003;"Печь-Камин Народная 16(Aisi430) ГАЗ Закрытая Каменка(сетка трансформер)";3424.20;;
2004;"Печь-Камин Народная 26(Aisi430) ГАЗ Закрытая Каменка(сетка трансформер)";3923.40;;
2011;"Сетчатый экономайзер L-700  ""Народная""";210.60;;
2010;"Теплообменник ""Народная"" (Aisi304) 2 мм 3/4";222.30;;
307;"Бак 35л.";312.00;;
